Localidad,Categoría ,Prestadores,Web,Funcionamiento,Observaciones,Dirección,Teléfono fijo,WhatsApp,Plazas totales
VG,Hotel 3*,Abetaia  ,Si,Abierto T.A  / Cierra del 05/03 al 20/12.,,Avenida 5 Nº 467 e/ Paseos 104 y 105,(02255) 46-2454,5491160288924,98
VG,Sin categorizar,25 de Noviembre II - Sindicato de Obreros Marítimos Unidos (S.O.M.U.)  ,Si,Abierto todo el año.  A partir de Marzo alquilan a particulares ,"No pedir reservas, No pedir tarifas, No pedir ocupacion, No pedir diponibilidad",Paseo 108 Nº 211 y Avenida 2,(02255) 46-2242 // 46-7381,,88
LG,Departamentos con servicios,30 y Playa,Oculto,,,Calle 30 y Playa,No posee.,54 9 2254 59-5045,168
VG,Hotel 2*,Acquamarina ,Si,Cerrado h. 17/08,,Avenida 1 Nº 759 e/ Paseos 107 y 108,(02255) 46-6031,5492236810419,44
VG,Sin categorizar,Agua de Coco,Si,Abierto T.A. / Abre el 26/12.,,Paseo 112 Nº 40 e/ Paseo Costanero y Avenida 1,(02255) 46-4633,5491165207288,60
VG,Hotel 2*,Águila Blanca  ,Si,Abierto T.A  Abre 1° de Diciembre,,Paseo 137 Nº 267 e/ Avenidas 2 y 3,(02255) 47-6132,5491159298520,50
VG,Sin categorizar,Agustina A.O.M.A  ,Si,Abierto todo el año.,,Avenida 2 Nº 699 y Paseo 107,(02255) 47-5986,5491125334275,48
MDLP,Cabaña,Abvai  ,Oculto,,,Piedrabuena y Juan de Garay,,,21
VG,Sin categorizar,Albatros  ,Si,Abierto T.A. / abre el 29 de diciembre.,,Paseo 141 bis Nº 350 e/ Avenidas 3 y 4,(02255) 47-6179,5492255420477,52
VG,Hotel 2*,Aldea Marina  ,Si,Abierto todo el año.,,Avenida 3 Nº 1481 e/ Paseos 114 y 115,(02255) 46-2775,5492255408126/ 5492255417716,42
VG,Hotel 2*,Alfil  ,Si,Abierto T.A. / Abre en enero,,Paseo 119 Nº 355 e/ Avenidas 3 y 4,(02255) 46-2832,5491160951693,85
